significance regarding threshold for TES = 0.97	significance regarding threshold for TES = 1	significance regarding threshold for TES = 1.03	s events regarding threshold for TES = 1	s events regarding threshold for TES = 0.97	s events regarding threshold for TES = 1.03	b events regarding threshold for TES = 1	b events regarding threshold for TES = 0.97	b events regarding threshold for TES = 1.03	del_mu_stat regarding threshold for TES = 1	del_mu_stat regarding threshold for TES = 0.97	del_mu_stat regarding threshold for TES = 1.03
5.642799010296667	5.667387609767755	5.667387609767755	8562.04074395643	8338.869424268794	8562.04074395643	2273822.134976183	2175523.092051284	2273822.134976183	0.17644813957607164	0.17721701555828154	0.17644813957607164
5.642799010296667	5.667387609767755	5.667387609767755	8562.04074395643	8338.869424268794	8562.04074395643	2273822.134976183	2175523.092051284	2273822.134976183	0.17644813957607164	0.17721701555828154	0.17644813957607164
5.642799010296667	5.667387609767755	5.667387609767755	8562.04074395643	8338.869424268794	8562.04074395643	2273822.134976183	2175523.092051284	2273822.134976183	0.17644813957607164	0.17721701555828154	0.17644813957607164
6.5741234358087235	6.650180873541314	6.6732491934200535	8083.499362581674	7900.384385890003	8073.904177468692	1469431.5113145432	1436277.6517667682	1455762.3413349236	0.1503718498813531	0.15211153391995655	0.1498520392413966
7.32457408149547	7.412534740966152	7.436595284773762	7726.184493142869	7557.941949190592	7717.167799846933	1078691.0968852795	1057179.0723008176	1069163.531427481	0.13490661898330067	0.1365267097955037	0.13447013878077704
8.046737740376678	8.14290801469348	8.170325701582936	7398.433658539772	7242.973366969221	7389.677297187945	818108.0905797002	802960.4660842652	810645.9294896912	0.12280625032181976	0.12427396446416168	0.12239414149747517
8.756494050689557	8.859369449492407	8.888373350791774	7100.837584786848	6954.559021499966	7092.767772923044	635310.9969415335	623826.5531776363	629683.5513133109	0.11287485025893063	0.11420095693678362	0.11250652515748794
9.478475005980025	9.58240850325579	9.608839512107593	6810.547933141456	6672.432371348569	6804.690521532646	498332.9247102982	488882.0661547421	494699.8585403814	0.1043578970422971	0.10550220361071735	0.10407084005721529
10.223318040405777	10.32858835481038	10.353007249031158	6524.079642800798	6392.259957992499	6520.593854957654	392460.92183660035	384561.24730417103	390160.2829686002	0.09681865184744878	0.09781560116272277	0.09659029265082189
11.001329215244564	11.106952089550452	11.131597448869492	6232.808010702959	6106.9003413787605	6232.045463058063	308670.84742106264	302035.4162774455	307202.0522929371	0.09003370068921171	0.09089810698640834	0.08983436605512163
11.830144727923487	11.928363167792535	11.945680381016667	5935.157185860833	5815.056928146659	5936.265788745952	241637.53785022558	235802.13128703425	241011.38224821616	0.08383379898258582	0.08452981962592837	0.08371226820944731
12.726505819924158	12.818644811036805	12.830572486574937	5624.583985573392	5510.050007771545	5629.144908144449	186904.6062034358	181943.0901265335	186854.03646788333	0.07801136662582334	0.07857616333577093	0.07793884497720845
13.692231314639942	13.766387294833912	13.770395995827503	5298.174532571235	5189.121450297785	5305.13509594822	142821.4335842892	138438.91256949905	143117.46540701776	0.07264069930498529	0.07303411526000037	0.07261955286565505
14.70759301755192	14.772611753599364	14.772473321980817	4945.925475055691	4841.768362259948	4956.006558350074	107147.6102480277	103532.1582556629	107597.05587524138	0.06769283703379998	0.06799209080687835	0.06769347137774433
15.789258303521784	15.837210471277098	15.837031209831485	4558.406745178633	4460.718553339571	4571.8033482946685	78287.06442873093	75354.58796596261	78763.21542191051	0.06314243293120553	0.06333419726099171	0.06314314764873413
16.93189211825375	16.967266725027407	16.96539733276428	4122.167845394425	4030.6879364622023	4139.562184313705	54901.68683172351	52638.5491159308	55396.588401006826	0.058937011847934206	0.059060144785704774	0.058943506030876065
18.108850779575864	18.136044598804684	18.13318623632555	3613.9566158997445	3529.7542819189184	3634.233551813376	36094.29080040574	34463.558878657044	36533.50884065374	0.05513881456080607	0.055221615781817245	0.055147506178298465
18.917367447826457	18.92833338334292	18.942282678285522	2985.789979240504	2910.5711258803026	3010.147224034374	21896.69549422637	20761.433341036856	22242.728853231583	0.05283085307869776	0.05286147783289459	0.05279194788632046
17.80899210722695	17.805097167362355	17.86521261962261	2115.283588582212	2054.2778467816506	2142.261846017028	11998.66410856004	11251.482060790166	12236.739605149833	0.05616369237417309	0.05615140901736919	0.055974704655998894
0.0	0.0	0.0	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	0.0	0.0	0.0	67108864.0	67108864.0	67108864.0
